City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Saint-Philippe,RE,2021-10-06 14:12:03,-21.3585,55.7679,76.59,84,58,3.22
258,Ancud,CL,2021-10-06 14:12:03,-41.8697,-73.8203,51.33,48,0,7.92
259,Saint-Pierre,RE,2021-10-06 14:12:03,-21.3393,55.4781,76.68,76,75,10.36
260,Trebisacce,IT,2021-10-06 14:12:04,39.8708,16.5312,77.52,37,44,5.97
261,Yen Bai,VN,2021-10-06 14:12:04,21.7,104.8667,78.82,83,76,2.68
262,Lae,PG,2021-10-06 14:12:04,-6.7221,146.9847,76.5,84,97,1.34
263,Knysna,ZA,2021-10-06 14:12:05,-34.0363,23.0471,69.85,61,0,10.04
264,Geraldton,AU,2021-10-06 14:12:05,-28.7667,114.6,59.41,72,0,11.5
265,Pontes E Lacerda,BR,2021-10-06 14:07:39,-15.2261,-59.3353,91.0,45,94,3.71
266,Yabelo,ET,2021-10-06 14:12:05,4.8833,38.0833,71.53,45,63,6.76
267,Yerkoy,TR,2021-10-06 14:12:06,39.6381,34.4672,61.47,40,52,9.55
268,Anadyr,RU,2021-10-06 14:12:06,64.75,177.4833,32.0,95,92,5.99
269,Calabozo,VE,2021-10-06 14:12:06,8.9242,-67.4293,87.12,53,82,11.01
270,Aginskoye,RU,2021-10-06 14:12:07,51.1,114.53,39.92,71,93,3.96
271,Igarka,RU,2021-10-06 14:12:07,67.4667,86.5833,37.6,98,100,15.75
272,Alice Springs,AU,2021-10-06 14:07:49,-23.7,133.8833,71.15,73,75,8.05
273,Vila,PT,2021-10-06 14:12:07,42.0304,-8.1588,68.74,59,5,3.6
274,Hualmay,PE,2021-10-06 14:12:08,-11.0964,-77.6139,64.89,80,92,7.23
275,Atar,MR,2021-10-06 14:12:08,20.5169,-13.0499,106.11,8,36,13.2
276,Mbulu,TZ,2021-10-06 14:12:08,-3.85,35.5333,77.77,25,86,10.11
277,Talcahuano,CL,2021-10-06 14:12:09,-36.7167,-73.1167,56.88,38,0,9.22
278,Miri,MY,2021-10-06 14:12:09,4.4148,114.0089,80.08,84,100,5.03
